"Variable 1" "Variable 2" "Variable 3" "Variable 4" "Variable 5" "Variable 6" "Variable 7" "Variable 8" "Variable 9" "Variable 10"
25.71 13.23 22.88 17.18 22.97 33.64 12.68 31.16 31.85 24.28
25.77 19.67 23.13 20.23 32.67 27.70 17.32 30.83 21.84 21.94
27.52 20.99 23.88 21.36 32.25 36.01 18.58 31.18 37.67 29.09
27.84 23.79 26.33 24.36 30.13 34.15 19.69 29.94 39.03 32.20
27.98 24.13 26.52 24.97 27.76 32.55 24.49 28.39 30.58 24.96
28.02 24.69 27.31 26.50 29.41 41.13 25.34 43.27 37.90 29.76
28.03 25.21 27.40 26.84 38.68 31.09 26.43 23.35 18.36 37.71
28.18 25.74 28.56 27.67 33.88 25.92 27.03 29.92 28.04 25.84
28.36 27.05 28.73 28.53 36.87 29.69 27.16 31.06 24.70 31.21
30.21 28.33 28.87 28.75 24.49 31.20 27.37 33.82 34.67 28.18
30.49 28.48 29.36 29.61 34.76 37.17 28.09 42.70 26.00 38.72
31.72 28.64 29.69 29.69 44.59 35.59 29.38 29.39 30.64 16.68
32.05 28.73 29.71 30.10 28.32 36.01 29.83 33.14 36.47 28.64
32.14 29.12 29.88 31.69 29.16 20.96 30.90 30.29 25.89 31.57
32.26 29.24 31.77 32.38 27.06 23.70 31.76 25.89 29.46 35.26
32.61 29.41 32.21 32.55 15.35 19.72 31.90 18.87 38.37 31.64
34.10 30.17 32.38 32.81 32.44 26.71 31.93 23.51 31.76 33.02
34.59 30.24 32.74 33.00 33.82 36.75 32.33 25.99 38.58 39.01
35.97 30.67 32.92 33.98 33.10 21.56 32.55 35.58 32.37 38.29
36.31 33.47 33.18 34.39 30.28 26.88 33.73 33.65 23.31 27.36
37.06 33.94 33.50 34.74 31.61 28.96 33.73 33.31 44.89 25.73
37.22 35.45 34.02 34.88 32.22 16.56 35.15 33.26 24.87 36.07
38.32 35.50 34.63 36.09 35.91 36.65 35.93 32.02 31.27 40.81
38.77 37.89 35.66 36.27 23.48 31.69 36.26 33.17 22.90 28.36
39.05 38.77 36.56 36.98 33.51 33.65 36.60 29.23 26.80 19.11
39.20 41.08 37.55 37.35 36.24 29.77 36.95 31.73 21.66 33.23
39.32 41.18 38.52 39.49 30.27 31.51 37.14 30.51 28.57 22.05
40.59 41.90 39.54 40.28 29.93 34.38 37.32 30.04 30.13 28.64
41.13 43.56 39.65 41.05 33.71 24.81 37.45 34.58 31.33 24.69
44.14 45.67 39.94 44.39 28.35 21.44 46.43 26.99 23.81 34.14
