"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Type"
1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00,1
1.51761,13.89,3.60,1.36,72.73,0.48,7.83,0.00,0.00,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.00,0.00,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.00,0.00,1
1.52210,13.73,3.84,0.72,71.76,0.17,9.74,0.00,0.00,1
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.00,0.30,1
1.51900,13.49,3.48,1.35,71.95,0.55,9.00,0.00,0.00,1
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.00,0.16,1
1.52667,13.99,3.70,0.71,71.57,0.02,9.82,0.00,0.10,1
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.00,0.00,1
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.00,0.00,1
1.52320,13.72,3.72,0.51,71.75,0.09,10.06,0.00,0.16,1
1.51926,13.20,3.33,1.28,72.36,0.60,9.14,0.00,0.11,1
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.00,0.00,1
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.00,0.00,1
1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.00,0.09,1
1.51769,12.45,2.71,1.29,73.70,0.56,9.06,0.00,0.24,1
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.00,0.31,1
1.51824,12.87,3.48,1.29,72.95,0.60,8.43,0.00,0.00,1
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.00,0.00,2
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.00,0.00,2
1.51645,13.40,3.49,1.52,72.65,0.67,8.08,0.00,0.10,2
1.51618,13.01,3.50,1.48,72.89,0.60,8.12,0.00,0.00,2
1.51640,12.55,3.48,1.87,73.23,0.63,8.08,0.00,0.09,2
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.00,0.22,2
1.51605,12.90,3.44,1.45,73.06,0.44,8.27,0.00,0.00,2
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.00,0.19,2
1.51590,13.24,3.34,1.47,73.10,0.39,8.22,0.00,0.00,2
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.00,0.00,2
1.51860,13.36,3.43,1.43,72.26,0.51,8.60,0.00,0.00,2
